municipality, title, party, name
NORTH COLLINS, TOWN JUSTICE, 12C CON, Rosaline A Seege
NORTH COLLINS, TOWN JUSTICE, 13A DEM, John M Stevens
NORTH COLLINS, TOWN SUPERINTENDENT OF HIGHWAYS, 14A DEM, David J Winter
ORCHARD PARK, COUNCILMAN, 8A DEM, Michael J Sherry
ORCHARD PARK, TOWN CLERK, 9A DEM, Remy C Orffeo
ORCHARD PARK, TOWN JUSTICE, 10A DEM, Lynn Wessel Keane
SARDINIA, COUNCILMAN, 8B REP, David L Montgomery
SARDINIA, COUNCILMAN, 8C CON, Douglas J Morrell
SARDINIA, COUNCILMAN, 8F IND, David L Montgomery
SARDINIA, COUNCILMAN, 9B REP, Ronald P Phillips
SARDINIA, COUNCILMAN, 9C CON, Mandy M Quinn-Stojek
TOWN OF TONAWANDA, SUPERVISOR, 8A DEM, Joseph H Emminger
TOWN OF TONAWANDA, SUPERVISOR, 8B REP, Damon D Piatek
TOWN OF TONAWANDA, COUNCILMAN, 9A DEM, Daniel J Crangle
TOWN OF TONAWANDA, COUNCILMAN, 9B REP, William R Naab
TOWN OF TONAWANDA, COUNCILMAN, 9C CON, Daniel J Crangle
TOWN OF TONAWANDA, TOWN CLERK, 10A DEM, Marguerite Greco
TOWN OF TONAWANDA, TOWN JUSTICE, 11A DEM, J Mark Gruber
WALES, SUPERVISOR, 8B REP, Rickey A Venditti
WALES, COUNCILMAN, 10B REP, Michael S Simon
WALES, COUNCILMAN, 9B REP, Donald A Butcher
WALES, ASSESSOR, 11B REP, Peter M Tarnawskyj
WALES, ASSESSOR, 12B REP, David B Lane
WEST SENECA, SUPERVISOR, 8A DEM, Chris Wleklinski Bove
WEST SENECA, SUPERVISOR, 8C CON, Sheila M Meegan
WEST SENECA, COUNCILMAN, 9A DEM, Eugene P Hart Jr
WEST SENECA, TOWN CLERK, 10A DEM, Jacqueline A Felser
WEST SENECA, TOWN JUSTICE, 11A DEM, Shannon E Filbert
WEST SENECA, TOWN SUPERINTENDENT OF HIGHWAYS, 12A DEM, Matthew D English
KENMORE, MAYOR, 12A DEM, Patrick Mang
KENMORE, TRUSTEE, 13A DEM, R Timothy McCarthy
KENMORE, TRUSTEE, 14A DEM, Katherine J Bestine
